#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)"
21.1%,21050,675.9379272460938,325.231341172076
21.1%,21100,632.3076171875,356.4706122854077
21.1%,21150,661.216552734375,335.91215199880145
21.2%,21200,687.5310668945312,328.5172805079741
21.2%,21250,672.4517822265625,311.0374418553311
21.3%,21300,613.6392822265625,350.4866928325578
21.4%,21350,673.7822265625,301.7460495945971
21.4%,21400,668.9096069335938,310.2158152430462
21.4%,21450,612.5184326171875,320.60872894076783
21.5%,21500,654.6791381835938,299.852046910534
21.6%,21550,649.3416748046875,291.0132696069697
21.6%,21600,606.9386596679688,296.4521544198033
21.6%,21650,636.9871826171875,252.08394214168422
21.7%,21700,616.529052734375,249.07181308179128
21.8%,21750,616.05224609375,291.78735031707805
21.8%,21800,641.1646728515625,288.2291906646096
21.9%,21850,617.6002197265625,287.39071600665824
21.9%,21900,631.1661987304688,290.05456638176173
21.9%,21950,649.543212890625,305.6033286876636
22.0%,22000,657.821533203125,301.9406092834898
22.1%,22050,617.5554809570312,301.95406486683464
22.1%,22100,641.4176635742188,281.7421924331193
22.1%,22150,618.583984375,315.74661380290195
22.2%,22200,662.80517578125,279.9471640344658
22.2%,22250,649.8131103515625,303.3521250323332
22.3%,22300,633.408447265625,309.1858390309677
22.4%,22350,628.47802734375,320.59088658272304
22.4%,22400,612.533935546875,301.86503541673017
22.4%,22450,618.0613403320312,288.49260610565705
22.5%,22500,607.9747924804688,331.5398395587038
22.6%,22550,675.4979248046875,300.58939135652594
22.6%,22600,622.0672607421875,314.24022612263263
22.6%,22650,673.071533203125,293.6396435562879
22.7%,22700,661.388916015625,302.87231760476834
22.8%,22750,696.8935546875,329.61705526156743
22.8%,22800,671.7078857421875,319.0386734247742
22.9%,22850,692.2852783203125,307.2895478143898
22.9%,22900,639.7444458007812,340.65907068198334
22.9%,22950,678.3018188476562,326.1998991886536
23.0%,23000,652.022705078125,331.78859513152656
23.1%,23050,674.6102294921875,302.81689347331434
23.1%,23100,645.059814453125,303.51212186425477
23.1%,23150,663.55908203125,302.04422534573587
23.2%,23200,626.6732177734375,309.36252036851073
23.2%,23250,662.239990234375,285.85737546443187
23.3%,23300,653.8292846679688,308.4816116817562
23.4%,23350,660.7841186523438,299.33259342378824
23.4%,23400,666.819580078125,266.54927346801827
23.4%,23450,644.9822998046875,294.67351767579174
23.5%,23500,606.5099487304688,314.2994261373812
23.6%,23550,629.5518188476562,286.6456197986764
23.6%,23600,651.240234375,263.3141839575155
23.6%,23650,647.668701171875,283.05641488336533
23.7%,23700,652.12548828125,272.9254421039936
23.8%,23750,643.0393676757812,309.10437333010793
23.8%,23800,620.4866333007812,297.2940834869114
23.9%,23850,617.2142333984375,290.07310815031224
23.9%,23900,595.4741821289062,319.7033031608169
23.9%,23950,649.8468017578125,305.5161515952802
24.0%,24000,683.875244140625,264.551527428997
24.1%,24050,700.2393798828125,284.4528605140508
24.1%,24100,672.8699340820312,316.0785478202339
24.1%,24150,682.1112670898438,325.9041715769739
24.2%,24200,639.7005615234375,316.0570993722961
24.2%,24250,644.0899658203125,288.2987901548279
24.3%,24300,642.2091064453125,320.02375971306793
24.4%,24350,665.1732177734375,302.2509593485991
24.4%,24400,664.3388061523438,310.054804479915
24.4%,24450,652.0416259765625,322.6394546374046
24.5%,24500,642.9390258789062,345.7879243862343
24.6%,24550,639.6539916992188,316.2965934365448
24.6%,24600,604.5804443359375,331.34086628415304
24.6%,24650,652.2578735351562,291.8067139549796
24.7%,24700,655.0101318359375,295.8069788103132
24.8%,24750,664.88671875,296.5675007316891
24.8%,24800,645.969482421875,304.714929298391
24.9%,24850,618.4114990234375,318.87037030634366
24.9%,24900,651.667724609375,302.90401207524405
24.9%,24950,675.3067626953125,311.3014156566543
25.0%,25000,639.3004760742188,327.4337946636859
25.1%,25050,677.6318359375,292.15409702361404
25.1%,25100,634.3416748046875,297.04540435852346
25.1%,25150,657.28466796875,286.0760161810723
25.2%,25200,641.6622924804688,305.80159880329506
25.2%,25250,610.5802001953125,319.67207056930465
25.3%,25300,673.7020263671875,276.58201625010463
25.4%,25350,671.6704711914062,301.20443801494525
25.4%,25400,663.6039428710938,295.024138555017
25.4%,25450,642.5454711914062,319.0793687470632
25.5%,25500,637.12744140625,313.7742620738684
25.6%,25550,627.9935913085938,304.9513750756275
25.6%,25600,606.83984375,296.38604249573353
25.6%,25650,608.2955322265625,309.39036753181097
25.7%,25700,622.175048828125,317.4316952787673
25.8%,25750,648.113037109375,317.25555271333855
25.8%,25800,708.8525390625,293.1554373506988
25.9%,25850,606.1515502929688,332.23827734109915
25.9%,25900,674.3480224609375,282.36792688415443
25.9%,25950,650.1639404296875,274.68962477582113
26.0%,26000,608.7636108398438,327.1571331770804
26.1%,26050,613.208984375,341.92428617284094
26.1%,26100,608.0478515625,350.79325916283966
